role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack
Junior,UX Designer,49,12,4,1,13,46,8,3
Junior,Security Analyst,55,22,3,4,14,1,23,4
Junior,System Administrator,46,6,2,3,9,41,15,2
Junior,Network Engineer,31,11,3,3,19,33,16,5
Senior,Business Analyst,35,27,2,3,2,29,21,1
Trainee,System Administrator,51,8,5,3,11,20,6,3
Trainee,System Administrator,46,12,2,1,17,43,9,4
Trainee,Network Engineer,35,29,4,4,2,36,28,1
Trainee,Network Engineer,56,27,1,3,19,43,35,5
Junior,Product Manager,55,2,4,5,7,22,23,3
Trainee,Data Analyst,31,9,5,1,18,32,13,5
Senior,Data Scientist,56,15,4,1,13,1,13,3
Senior,Data Scientist,32,2,3,4,5,26,24,2
Trainee,System Administrator,32,29,5,5,18,47,21,5
Trainee,QA Tester,42,1,4,3,16,21,22,5
Senior,Product Manager,42,10,2,4,15,33,31,5
Senior,System Administrator,43,2,2,5,8,15,25,3
Junior,UI Designer,28,12,4,5,15,19,26,5
Senior,Business Analyst,38,23,4,4,1,25,11,1
Junior,Network Engineer,23,8,2,4,17,15,18,5
Junior,Data Analyst,33,5,2,2,15,5,18,4
Junior,DevOps Engineer,39,22,5,5,14,44,33,5
Junior,Network Engineer,32,28,1,3,14,43,31,4
Junior,UI Designer,37,1,2,5,10,22,28,3
Trainee,QA Tester,39,15,1,1,2,41,20,1
Senior,UX Designer,56,6,5,3,6,36,34,3
Junior,Database Administrator,47,12,1,3,17,7,4,4
Senior,UX Designer,37,8,4,3,5,5,11,1
Senior,Security Analyst,27,13,1,2,5,36,6,1
Junior,UI Designer,33,19,4,3,15,21,1,3
Trainee,Security Analyst,34,27,5,4,15,5,24,5
Junior,System Administrator,25,1,2,4,11,31,9,3
Trainee,DevOps Engineer,23,11,3,2,5,16,37,2
Senior,Software Engineer,47,20,2,4,1,37,5,1
Trainee,Network Engineer,48,1,2,2,11,16,26,3
Trainee,Software Engineer,48,8,5,1,11,36,34,4
Trainee,QA Tester,36,5,2,4,6,22,9,1
Senior,System Administrator,29,17,4,5,8,48,8,2
Senior,Data Scientist,28,8,2,3,2,48,19,1
Trainee,Network Engineer,33,25,2,3,15,12,36,5
Trainee,Security Analyst,34,10,2,2,9,31,34,3
Junior,Data Scientist,38,2,3,3,15,21,36,5
Trainee,Data Analyst,38,9,3,1,8,6,39,3
Junior,DevOps Engineer,57,24,4,5,16,21,7,4
Trainee,DevOps Engineer,42,23,2,5,14,20,30,5
Junior,UX Designer,29,3,1,4,15,5,15,4
Senior,Product Manager,26,18,4,3,13,13,27,4
Trainee,Network Engineer,47,7,5,4,9,15,5,2
Trainee,Security Analyst,37,15,1,3,1,2,31,1
Trainee,QA Tester,57,21,4,2,6,8,27,2
Trainee,Software Engineer,49,22,2,1,8,46,10,2
Junior,Database Administrator,50,20,4,4,18,20,22,5
Trainee,QA Tester,33,18,5,5,18,49,29,5
Senior,Data Scientist,58,25,5,1,17,29,8,4
Senior,Data Scientist,51,3,4,1,16,29,27,5
Trainee,Database Administrator,44,28,2,3,13,41,23,4
Senior,UI Designer,37,23,5,5,4,41,27,2
Trainee,Data Analyst,35,14,3,2,4,31,23,1
Trainee,Network Engineer,31,24,1,2,14,22,14,3
Senior,DevOps Engineer,28,2,3,4,5,2,38,3
Trainee,Business Analyst,58,14,5,3,16,0,32,5
Senior,Security Analyst,50,22,5,1,14,2,33,5
Junior,QA Tester,24,11,1,1,14,36,21,4
Trainee,Security Analyst,36,16,4,4,14,6,28,5
Junior,Data Scientist,57,8,5,3,14,2,33,5
Senior,Product Manager,40,7,2,5,19,35,9,5
Junior,UX Designer,34,11,3,4,3,48,29,2
Junior,Software Engineer,42,3,4,1,17,2,10,4
Senior,Data Analyst,58,17,3,3,14,3,33,5
Junior,Product Manager,48,14,1,3,10,30,20,3
Junior,Data Analyst,50,6,4,1,13,1,12,3
Senior,UI Designer,41,8,5,5,4,13,24,2
Junior,Business Analyst,46,22,4,5,11,36,20,3
Senior,Data Scientist,27,5,4,2,15,30,0,3
Junior,UX Designer,57,27,2,2,15,1,4,3
Senior,Database Administrator,23,28,1,1,2,30,21,1
Senior,Network Engineer,43,8,4,2,11,46,6,2
Junior,Database Administrator,53,2,2,3,2,42,12,1
Junior,Product Manager,37,15,5,3,5,21,22,2
Junior,Data Analyst,39,12,1,5,13,9,20,4
Trainee,DevOps Engineer,26,17,3,1,1,29,5,1
Trainee,UI Designer,57,1,2,3,7,32,19,2
Trainee,DevOps Engineer,51,15,5,5,7,18,11,2
Senior,UX Designer,40,14,1,3,10,45,39,4
Junior,Network Engineer,44,20,1,1,6,24,8,1
Senior,Network Engineer,55,22,2,2,12,45,27,4
Trainee,Product Manager,34,16,5,2,13,0,10,3
Junior,Security Analyst,50,29,2,5,11,31,31,4
Senior,UI Designer,57,9,2,5,18,24,10,5
Junior,Network Engineer,43,1,1,5,2,40,23,1
Senior,Network Engineer,57,28,4,5,16,16,14,4
Junior,Product Manager,30,17,1,2,2,13,34,1
Trainee,Data Scientist,40,29,2,5,19,44,16,5
Trainee,System Administrator,59,13,2,5,6,12,24,2
Junior,UI Designer,27,21,3,2,1,37,34,1
Senior,DevOps Engineer,36,26,4,2,11,38,18,3
Trainee,UX Designer,41,21,3,3,18,1,30,5
Trainee,Network Engineer,30,5,5,1,10,31,16,3
Trainee,Network Engineer,53,10,5,1,18,31,22,5
Junior,Business Analyst,25,6,2,5,1,39,0,1
Junior,Data Scientist,39,24,4,5,19,5,9,5
Senior,Network Engineer,26,19,4,1,16,24,7,4
Senior,System Administrator,41,25,5,3,7,2,25,3
Senior,Business Analyst,44,13,3,5,15,17,33,5
Junior,Software Engineer,32,1,3,4,1,49,18,1
Junior,Data Scientist,58,20,3,2,9,37,13,2
Senior,UX Designer,43,25,5,4,2,42,7,1
Senior,Data Analyst,25,15,2,5,17,2,0,4
Junior,UI Designer,50,14,2,5,10,47,24,3
Senior,Product Manager,55,8,2,2,6,4,23,2
Trainee,UX Designer,34,10,2,1,5,23,19,1
Junior,UI Designer,30,9,3,5,8,33,29,3
Senior,Business Analyst,52,17,1,1,8,46,4,1
Junior,Security Analyst,28,9,2,4,5,47,2,1
Trainee,Product Manager,25,3,5,1,12,38,31,4
Junior,QA Tester,40,11,3,2,7,47,16,2
Junior,DevOps Engineer,51,12,4,3,13,23,4,3
Junior,Software Engineer,52,10,1,1,13,35,10,3
Junior,Data Scientist,56,25,2,5,17,27,37,5
Trainee,Network Engineer,42,17,5,1,4,47,3,1
Junior,Security Analyst,52,17,4,5,18,48,38,5
Junior,Security Analyst,40,25,2,5,10,33,18,3
Senior,UX Designer,52,11,5,2,3,15,38,2
Junior,Software Engineer,53,22,5,4,12,35,22,4
Senior,Data Analyst,23,4,5,2,1,6,16,1
Trainee,Database Administrator,31,7,3,4,11,17,12,3
Trainee,UI Designer,23,21,1,3,18,5,26,5
Trainee,UI Designer,23,26,4,2,13,49,0,3
Trainee,UX Designer,45,14,4,3,17,27,1,4
Senior,System Administrator,38,7,1,4,8,38,17,2
Junior,System Administrator,53,24,4,5,19,33,35,5
Trainee,Network Engineer,37,8,1,1,17,40,32,5
Junior,QA Tester,37,1,3,3,2,28,35,2
Senior,DevOps Engineer,52,24,2,2,3,3,1,1
Senior,Product Manager,45,22,4,5,3,13,3,1
Senior,Data Analyst,22,4,2,1,6,4,15,1
Trainee,Network Engineer,32,29,5,4,10,24,3,2
Junior,Software Engineer,42,12,3,1,18,38,8,4
Junior,System Administrator,25,24,4,4,18,7,20,5
Junior,QA Tester,28,3,5,5,14,14,22,4
Senior,QA Tester,47,13,4,4,16,18,1,4
Trainee,UX Designer,33,20,5,4,7,10,2,1
Senior,Data Analyst,52,6,1,3,1,19,22,1
Senior,Business Analyst,38,11,2,5,17,35,25,5
Junior,Product Manager,54,23,1,3,5,17,6,1
Senior,DevOps Engineer,32,4,2,5,1,13,35,1
Junior,Data Scientist,49,20,5,3,17,37,32,5
Trainee,UX Designer,53,16,1,3,10,24,35,4
Junior,Product Manager,22,7,3,2,12,15,3,3
Trainee,Data Scientist,49,22,3,3,2,17,22,1
Junior,Data Scientist,28,29,3,1,16,0,24,5
Senior,Data Analyst,23,11,3,5,15,39,25,5
Senior,Data Analyst,45,24,4,4,13,0,27,4
Trainee,Network Engineer,25,1,1,5,18,0,27,5
Trainee,Software Engineer,40,26,2,1,14,20,20,4
Trainee,QA Tester,47,29,4,2,18,24,9,4
Junior,Product Manager,32,27,4,5,2,26,26,1
Junior,UX Designer,32,7,2,2,2,9,14,1
Trainee,Network Engineer,24,12,5,3,3,49,16,1
Senior,Database Administrator,33,7,3,5,5,11,38,3
Junior,UI Designer,24,27,2,3,16,27,34,5
Junior,UX Designer,48,23,1,1,15,48,4,3
Junior,Software Engineer,23,7,3,5,12,31,15,3
Trainee,DevOps Engineer,37,10,4,1,9,32,22,3
Trainee,Security Analyst,23,16,1,5,14,7,38,5
Trainee,Security Analyst,51,26,2,1,16,41,8,4
Trainee,QA Tester,41,8,4,4,11,25,32,4
Trainee,Security Analyst,59,9,2,1,6,41,34,2
Senior,Security Analyst,49,9,2,4,10,49,39,4
Senior,UI Designer,46,2,4,1,8,40,23,3
Trainee,System Administrator,53,13,1,5,16,1,23,5
Junior,DevOps Engineer,31,13,5,3,3,34,23,1
Trainee,Data Analyst,54,23,1,1,2,33,18,1
Senior,Data Scientist,34,23,4,4,16,5,38,5
Senior,System Administrator,58,4,3,3,19,30,24,5
Junior,UX Designer,37,25,5,1,9,22,30,3
Senior,UX Designer,43,24,1,1,16,11,37,5
Trainee,Security Analyst,41,12,4,3,4,27,24,2
Junior,Data Analyst,48,17,3,1,10,14,26,3
Trainee,Software Engineer,37,2,3,1,19,18,31,5
Trainee,Product Manager,55,13,3,2,13,11,10,3
Junior,System Administrator,53,29,4,4,18,49,4,4
Trainee,System Administrator,47,18,5,3,15,47,32,5
Senior,Business Analyst,46,28,1,1,4,1,18,1
Trainee,DevOps Engineer,23,28,1,5,9,10,15,2
Junior,QA Tester,33,27,5,5,4,43,34,2
Junior,DevOps Engineer,30,15,1,2,16,36,10,4
Junior,Product Manager,33,8,5,1,15,37,10,4
Trainee,UX Designer,47,15,4,5,2,24,9,1
Junior,UX Designer,30,1,4,3,14,42,33,5
Junior,UX Designer,31,20,1,2,3,20,4,1
Trainee,Business Analyst,53,10,2,3,4,41,22,1
Senior,UX Designer,55,12,4,4,1,35,24,1
Trainee,Product Manager,41,5,5,1,9,8,28,3
Junior,Network Engineer,23,9,5,4,17,11,39,5
Junior,Data Analyst,22,23,1,4,14,9,12,4
Trainee,Database Administrator,57,8,1,3,17,45,31,5
Senior,QA Tester,45,16,1,5,1,4,33,1
Junior,Product Manager,48,14,5,1,10,32,11,2
Junior,Security Analyst,23,27,2,3,16,4,23,5
Junior,Network Engineer,52,25,1,3,19,15,39,5
Trainee,QA Tester,35,13,2,3,3,36,20,1
Junior,Product Manager,23,23,2,2,12,36,28,4
Senior,Network Engineer,50,21,5,2,3,28,22,1
Junior,UX Designer,36,13,3,1,15,17,32,5
Junior,Data Analyst,33,5,1,2,17,28,7,4
Senior,System Administrator,58,16,2,2,18,5,12,4
Junior,DevOps Engineer,49,26,2,4,7,17,4,1
Trainee,Data Scientist,41,11,1,1,19,31,9,4
Trainee,Database Administrator,45,22,1,4,7,41,13,2
Trainee,Data Analyst,42,5,4,2,5,46,23,2
Senior,System Administrator,31,13,1,1,8,30,10,2
Junior,Software Engineer,35,28,2,2,16,10,2,3
Trainee,Product Manager,58,11,2,2,16,25,28,5
Senior,Software Engineer,39,25,4,3,19,27,29,5
Junior,System Administrator,45,19,3,2,15,26,36,5
