id,role,question,ideal_answer,candidate_answer,score,feedback
103,Cloud Engineer,How would you design a fault-tolerant system on AWS?,"Optimize costs via rightsizing, reserved instances, and efficient storage.","Optimize costs rightsizing, instances, and storage.",77,Candidate answer is missing 3 key points from ideal response.
104,DevOps Engineer,How do you ensure high availability in production systems?,"Monitor performance with logs, alerts, and APM tools.","Monitor performance logs, alerts, and APM",80,Candidate answer is missing 2 key points from ideal response.
105,Cloud Engineer,Explain how you implement CI/CD pipelines in cloud environments.,"Monitor via logs, metrics, alerts, and performance dashboards.","via metrics, and",60,Candidate answer is missing 5 key points from ideal response.
106,Data Scientist,How do you evaluate model performance and avoid overfitting?,"Apply NLP techniques like tokenization, embedding, and model evaluation for text data.",Apply NLP techniques and evaluation text,49,Candidate answer is missing 6 key points from ideal response.
107,BI Analyst,Describe a project where you improved reporting efficiency.,"Improve reporting via automation, optimization, and visualization.","Improve reporting via optimization,",72,Candidate answer is missing 3 key points from ideal response.
108,Data Scientist,Describe a project where you applied NLP techniques.,"Use correlation, feature importance, PCA, or regularization methods for selection.","correlation, regularization",34,Candidate answer is missing 8 key points from ideal response.
109,BI Analyst,Explain ETL process and its importance in BI.,"Handle missing data via imputation, cleaning, or data validation.","data imputation, cleaning, or validation.",71,Candidate answer is missing 4 key points from ideal response.
110,Frontend Developer,What strategies ensure responsive web design across devices?,"Use flexible grids, media queries, fluid images, and test across breakpoints.","Use flexible grids, media fluid and test across breakpoints.",81,Candidate answer is missing 2 key points from ideal response.
111,Frontend Developer,How do you optimize a webpage for performance?,"Improved usability via reusable components, accessibility, and responsive design.","Improved usability via components, and responsive",78,Candidate answer is missing 3 key points from ideal response.
112,Frontend Developer,How do you handle browser compatibility issues?,"Use polyfills, feature detection, and test across multiple browsers.","detection, browsers.",40,Candidate answer is missing 7 key points from ideal response.
113,Cloud Engineer,Explain how you implement CI/CD pipelines in cloud environments.,"Automate build, test, and deployment with CI/CD pipelines.","test, deployment CI/CD",58,Candidate answer is missing 5 key points from ideal response.
114,BI Analyst,How do you handle missing or inconsistent data in BI?,Design dashboards showing actionable metrics with clarity.,Design dashboards showing actionable metrics with clarity.,38,Candidate answer is missing 8 key points from ideal response.
115,Frontend Developer,What strategies ensure responsive web design across devices?,"Improved usability via reusable components, accessibility, and responsive design.",via responsive,48,Candidate answer is missing 7 key points from ideal response.
116,BI Analyst,How do you design dashboards for actionable insights?,"Track KPIs, financial, operational, and customer metrics.","Track KPIs, financial, operational, and customer metrics.",44,Candidate answer is missing 7 key points from ideal response.
117,Data Scientist,Explain feature selection techniques you use in predictive modeling.,"Apply NLP techniques like tokenization, embedding, and model evaluation for text data.",Apply techniques like and for data.,49,Candidate answer is missing 6 key points from ideal response.
118,BI Analyst,What metrics do you track to measure business performance?,"ETL extracts, transforms, loads data for analysis.","ETL extracts, transforms, loads data for analysis.",38,Candidate answer is missing 8 key points from ideal response.
119,BI Analyst,How do you handle missing or inconsistent data in BI?,"Track KPIs, financial, operational, and customer metrics.",Track and,63,Candidate answer is missing 5 key points from ideal response.
120,Data Scientist,How do you evaluate model performance and avoid overfitting?,"Use correlation, feature importance, PCA, or regularization methods for selection.",Use or regularization,48,Candidate answer is missing 7 key points from ideal response.
