Age,Gender,Education,Skills,Experience_Years,Previous_Companies,Certifications,Job_Role_Applied,Job_Description,Fit_Score
37,M,B.Sc IT,"Machine Learning, TensorFlow, PyTorch",1,"CodeFactory, GlobalCorp","Java, TensorFlow",Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.77
29,M,M.Sc AI,"Data Analysis, Agile, AWS Certified, Project Management",12,DataCorp,,Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
36,M,MBA,"Machine Learning, Project Management, Data Analysis",4,WebWorks,,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.84
38,F,B.Tech Computer,"TensorFlow, Data Analysis, NLP, PyTorch, Python",13,"FinTech Ltd, DataCorp, GlobalCorp",,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
22,F,B.Tech CS,"Data Analysis, Machine Learning, Python",5,"CodeFactory, WebWorks",AWS Certified,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.96
25,M,B.Tech CS,"AWS Certified, Oracle Java Cert",6,"FinTech Ltd, CodeFactory, WebWorks",,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.91
31,M,B.Sc IT,"Deep Learning, Java, Leadership",6,GlobalCorp,Machine Learning,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.97
35,F,B.Tech CS,"PyTorch, Agile, Java, Oracle Java Cert, TensorFlow",7,"CodeFactory, AI Solutions",PyTorch,Software Developer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
40,M,M.Sc AI,"NLP, TensorFlow",10,"TechSoft, WebWorks, GlobalCorp",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
32,F,B.Tech CS,"TensorFlow, Deep Learning",6,"AI Labs, WebWorks","Agile, Leadership",Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.97
25,F,M.Sc AI,"NLP, Leadership, PyTorch, Deep Learning",2,"FinTech Ltd, AI Labs, TechSoft","Data Analysis, PyTorch",Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.88
38,F,B.Sc IT,"Java, TensorFlow, NLP",3,WebWorks,,Data Scientist,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.8
26,M,B.Tech Computer,"AWS Certified, Oracle Java Cert",4,"FinTech Ltd, AI Labs, TechSoft",,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.81
30,M,M.Sc AI,"Python, SQL, AWS Certified",14,CodeFactory,Machine Learning,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
35,F,B.Tech CS,"Machine Learning, TensorFlow, Agile, Data Analysis, NLP",14,AI Solutions,"Java, NLP",Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
25,M,MBA,"Data Analysis, Java, Machine Learning",11,"CodeFactory, FinTech Ltd, AI Labs",Agile,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
24,F,MBA,"Machine Learning, Deep Learning, SQL, PyTorch, AWS Certified",12,"WebWorks, DataCorp",,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
30,F,B.Tech Computer,"AWS Certified, Machine Learning",1,"AI Labs, AI Solutions",,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.7
36,F,M.Sc AI,"NLP, TensorFlow, Project Management, Agile",6,FinTech Ltd,,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
35,M,B.Sc IT,"Oracle Java Cert, TensorFlow, Python",10,CodeFactory,,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
29,F,B.Sc IT,"NLP, Agile, PyTorch, Machine Learning",8,TechSoft,Machine Learning,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
38,M,B.Tech Computer,"AWS Certified, Machine Learning",11,GlobalCorp,,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
40,F,B.Tech Computer,"NLP, SQL, Agile",13,"FinTech Ltd, AI Labs, WebWorks",Deep Learning,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
26,M,MBA,"Deep Learning, Data Analysis, Agile",8,"AI Labs, DataCorp, TechSoft",Project Management,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
30,M,B.Sc IT,"Python, Deep Learning",7,AI Solutions,,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.97
40,M,B.Tech Computer,"NLP, Data Analysis, Agile",1,"CodeFactory, WebWorks",,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.7
23,F,M.Sc AI,"Agile, SQL, Java",6,"CodeFactory, FinTech Ltd, WebWorks",,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.94
26,M,B.Sc IT,"Deep Learning, Oracle Java Cert, Agile, Machine Learning, Data Analysis",5,TechSoft,NLP,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
36,F,MBA,"AWS Certified, Leadership, Deep Learning",4,WebWorks,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.86
27,M,MBA,"Oracle Java Cert, Python, Data Analysis, Deep Learning",1,"FinTech Ltd, AI Labs",,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.73
40,F,M.Sc AI,"AWS Certified, TensorFlow",2,"FinTech Ltd, CodeFactory",Machine Learning,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.73
32,F,B.Tech Computer,"AWS Certified, Machine Learning, Agile, TensorFlow",9,"FinTech Ltd, TechSoft","Leadership, Python",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
39,F,B.Tech Computer,"Python, Machine Learning, Project Management",7,WebWorks,,Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
33,M,B.Sc IT,"PyTorch, Project Management",8,CodeFactory,"Data Analysis, Agile",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
36,F,B.Tech CS,"Data Analysis, Oracle Java Cert, Python",7,FinTech Ltd,,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
37,F,MBA,"SQL, TensorFlow, Python, PyTorch, Agile",2,"GlobalCorp, FinTech Ltd, DataCorp",,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.84
30,F,B.Tech Computer,"Machine Learning, Data Analysis, AWS Certified, Project Management, Leadership",14,"CodeFactory, TechSoft",,Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
36,F,B.Tech Computer,"AWS Certified, PyTorch, Java, SQL, Python",6,"GlobalCorp, FinTech Ltd","Leadership, Python",Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
38,M,B.Tech Computer,"TensorFlow, PyTorch, AWS Certified, Python",10,AI Solutions,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
32,F,MBA,"Project Management, Oracle Java Cert",14,CodeFactory,Oracle Java Cert,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
39,M,M.Sc AI,"SQL, Project Management, NLP, Oracle Java Cert",2,"GlobalCorp, TechSoft","Python, Leadership",AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.83
25,M,B.Tech CS,"Machine Learning, Java, Project Management, AWS Certified, Deep Learning",14,"AI Labs, TechSoft",,Data Scientist,Manage projects using Agile and Project Management skills. Leadership required.,0.99
28,M,B.Sc IT,"SQL, NLP",12,"TechSoft, FinTech Ltd, GlobalCorp",,Software Developer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
40,F,B.Tech CS,"Agile, AWS Certified, Deep Learning, PyTorch",6,CodeFactory,,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.98
36,M,B.Sc IT,"Java, Agile, Machine Learning",15,"CodeFactory, AI Labs",Java,AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
33,F,MBA,"Deep Learning, PyTorch",13,"WebWorks, DataCorp, TechSoft","AWS Certified, Agile",Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
40,M,M.Sc AI,"NLP, Data Analysis, SQL, Python, Agile",2,CodeFactory,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.86
30,M,B.Tech CS,"Machine Learning, Python, TensorFlow, Agile",6,AI Solutions,,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.97
31,M,B.Tech CS,"AWS Certified, Agile",12,DataCorp,Data Analysis,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
23,F,M.Sc AI,"NLP, Machine Learning, PyTorch, Data Analysis",15,"AI Solutions, GlobalCorp, TechSoft","Java, AWS Certified",Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
40,M,B.Tech Computer,"Agile, Oracle Java Cert, Leadership, Python, NLP",11,"GlobalCorp, TechSoft, WebWorks",Deep Learning,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
28,M,B.Sc IT,"TensorFlow, Java",6,AI Labs,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.89
29,F,B.Tech CS,"Project Management, Deep Learning, Machine Learning",6,GlobalCorp,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.93
32,F,B.Sc IT,"SQL, PyTorch, Data Analysis, Leadership, Agile",12,"WebWorks, DataCorp","Java, Data Analysis",Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.99
28,M,B.Tech CS,"TensorFlow, Deep Learning, AWS Certified, SQL, Data Analysis",5,"WebWorks, CodeFactory",Deep Learning,Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
33,F,B.Sc IT,"SQL, NLP, Python, Deep Learning",13,"CodeFactory, TechSoft, FinTech Ltd",Project Management,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
33,M,M.Sc AI,"PyTorch, Java, TensorFlow, Project Management",7,GlobalCorp,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
27,M,B.Sc IT,"TensorFlow, Python, Project Management, Java, Leadership",4,"CodeFactory, GlobalCorp",AWS Certified,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
38,F,B.Sc IT,"TensorFlow, Project Management",11,CodeFactory,"Deep Learning, SQL",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
31,M,MBA,"Data Analysis, Java, Agile",14,"GlobalCorp, FinTech Ltd, WebWorks","AWS Certified, Oracle Java Cert",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
24,M,B.Sc IT,"AWS Certified, Agile, Data Analysis",2,"TechSoft, AI Solutions, AI Labs","Machine Learning, Oracle Java Cert",Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.82
26,F,B.Tech CS,"Deep Learning, Oracle Java Cert",6,GlobalCorp,,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.91
29,M,M.Sc AI,"Agile, Python",6,"FinTech Ltd, GlobalCorp",SQL,AI Engineer,Manage projects using Agile and Project Management skills. Leadership required.,0.94
37,M,MBA,"PyTorch, TensorFlow, Agile, Java",5,CodeFactory,,Data Analyst,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.97
23,F,B.Sc IT,"Agile, Data Analysis",2,"WebWorks, CodeFactory, GlobalCorp",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.73
40,M,M.Sc AI,"NLP, Python, TensorFlow, Java, Machine Learning",9,TechSoft,Deep Learning,Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
25,M,M.Sc AI,"Java, TensorFlow, AWS Certified, Deep Learning, Data Analysis",6,"AI Solutions, CodeFactory","NLP, Java",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
38,M,B.Tech CS,"Data Analysis, AWS Certified",8,"AI Solutions, CodeFactory, DataCorp","Deep Learning, Java",Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
39,F,MBA,"Agile, Oracle Java Cert",3,"TechSoft, DataCorp",,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.76
24,M,B.Sc IT,"Oracle Java Cert, Leadership, Data Analysis",13,"AI Labs, GlobalCorp, WebWorks",NLP,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
32,M,B.Sc IT,"PyTorch, Data Analysis",1,"CodeFactory, AI Labs",Project Management,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.7
35,M,B.Tech CS,"NLP, Machine Learning, AWS Certified, Project Management, Python",15,AI Solutions,,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
27,M,B.Tech CS,"SQL, PyTorch, TensorFlow, Machine Learning",13,"GlobalCorp, DataCorp",Project Management,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
22,F,B.Sc IT,"SQL, Machine Learning, NLP, Python",5,"FinTech Ltd, CodeFactory","SQL, Oracle Java Cert",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
26,M,M.Sc AI,"Deep Learning, PyTorch, Oracle Java Cert, Agile",5,"AI Labs, FinTech Ltd",Leadership,Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.98
22,M,B.Tech CS,"Deep Learning, Java, NLP, Project Management, Agile",15,"AI Labs, FinTech Ltd","Leadership, Java",AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
29,M,B.Sc IT,"Leadership, Agile, Oracle Java Cert, Deep Learning",11,"DataCorp, AI Labs, AI Solutions","Leadership, SQL",Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
39,F,M.Sc AI,"AWS Certified, Project Management, Data Analysis",13,"TechSoft, DataCorp, FinTech Ltd","Deep Learning, Python",Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
23,F,B.Tech CS,"Python, Machine Learning",5,"TechSoft, DataCorp, AI Labs",AWS Certified,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.86
33,M,M.Sc AI,"PyTorch, NLP",4,TechSoft,,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.79
30,M,B.Tech Computer,"Leadership, PyTorch, Python, AWS Certified, TensorFlow",2,"CodeFactory, WebWorks","PyTorch, SQL",Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.91
28,F,B.Sc IT,"SQL, Project Management, Agile, PyTorch, Python",9,"WebWorks, TechSoft, FinTech Ltd","Project Management, Deep Learning",Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
31,M,MBA,"Project Management, PyTorch, Machine Learning, Agile, NLP",3,"CodeFactory, TechSoft, GlobalCorp",,Software Developer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.91
39,F,MBA,"Oracle Java Cert, Java, Deep Learning, Leadership",6,GlobalCorp,PyTorch,AI Engineer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
36,M,B.Sc IT,"Deep Learning, Agile, Leadership",5,"CodeFactory, TechSoft",NLP,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.92
29,F,B.Tech Computer,"PyTorch, Leadership, NLP, Python, Agile",15,"CodeFactory, AI Labs",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
24,M,M.Sc AI,"TensorFlow, Machine Learning, AWS Certified, Agile",4,"DataCorp, AI Labs","Java, Machine Learning",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.98
33,F,M.Sc AI,"Project Management, Oracle Java Cert",15,"FinTech Ltd, CodeFactory, DataCorp",TensorFlow,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
24,M,M.Sc AI,"Agile, Machine Learning",11,AI Labs,,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
