EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,HourlyRate,DailyRate,PercentSalaryHike,DistanceFromHome,BusinessTravel,OverTime,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,StockOptionLevel,Attrition,Over18,StandardHours
17,45,Male,Married,1,Other,Human Resources,Recruiter,3,21,1,1,8,12720.6,79.5,636,18,11,Travel_Frequently,No,8,25,1,4,4,2,3,4,3,0,No,Y,80
18,49,Male,Divorced,5,Other,Human Resources,HR Manager,4,14,10,3,8,23404.8,146.28,1170.24,10,22,Travel_Rarely,No,8,24,0,2,3,2,2,2,3,1,No,Y,80
19,51,Male,Married,5,Medical,Finance,Accountant,4,7,2,0,1,35407.2,221.29,1770.32,18,8,Travel_Rarely,No,0,14,6,1,4,2,4,3,4,3,No,Y,80
20,57,Female,Married,2,Other,Finance,Accountant,3,24,3,3,8,17890.2,111.81,894.48,25,8,Travel_Frequently,No,1,33,1,3,3,3,1,2,3,3,No,Y,80
21,26,Male,Married,4,Marketing,IT,Software Engineer,4,1,1,1,1,35068.8,219.18,1753.44,23,23,Travel_Rarely,No,7,1,2,3,4,4,2,4,3,3,No,Y,80
22,43,Female,Divorced,4,Other,Research & Development,Lab Technician,2,19,8,0,6,14036.4,87.73,701.84,23,22,Travel_Rarely,Yes,6,23,6,4,2,1,3,4,3,3,No,Y,80
23,39,Female,Married,3,Life Sciences,Finance,Financial Analyst,5,1,1,1,1,44397,277.48,2219.84,25,2,Travel_Rarely,Yes,3,1,4,2,2,2,4,1,3,1,No,Y,80
24,45,Female,Single,5,Human Resources,Sales,Sales Executive,3,3,3,0,3,20579.4,128.62,1028.96,17,13,Non-Travel,Yes,1,10,0,3,1,1,3,4,3,0,No,Y,80
25,22,Female,Married,4,Life Sciences,Finance,Accountant,4,22,2,2,2,33652.8,210.33,1682.64,21,21,Travel_Frequently,No,7,35,6,3,3,2,1,3,4,1,No,Y,80
26,43,Female,Single,4,Marketing,Research & Development,Lab Technician,2,11,4,4,4,14120.4,88.25,706,13,18,Travel_Rarely,Yes,1,18,5,4,4,2,4,4,3,0,Yes,Y,80
27,47,Male,Divorced,2,Marketing,IT,Software Engineer,4,17,8,5,6,34130.4,213.31,1706.48,22,11,Travel_Frequently,No,4,26,2,2,1,2,3,1,3,1,No,Y,80
28,39,Female,Divorced,5,Human Resources,IT,Software Engineer,1,26,3,3,3,4747.2,29.67,237.36,10,10,Travel_Rarely,Yes,4,27,0,3,2,4,1,1,3,3,No,Y,80
29,33,Female,Single,3,Technical Degree,Sales,Sales Executive,4,15,1,0,2,10665.6,66.66,533.28,23,10,Travel_Rarely,Yes,1,28,4,2,4,4,4,3,4,3,No,Y,80
30,61,Male,Divorced,1,Medical,Research & Development,Lab Technician,1,5,3,2,5,1937.4,12.11,96.88,10,1,Travel_Frequently,No,9,20,2,1,2,3,3,4,3,1,No,Y,80
31,49,Male,Single,5,Medical,Research & Development,Lab Technician,2,2,0,0,2,14098.8,88.12,704.96,23,30,Travel_Frequently,No,1,16,5,3,4,3,4,4,3,0,No,Y,80
32,60,Female,Married,1,Life Sciences,Research & Development,R&D Manager,5,18,0,0,0,43506,271.91,2175.28,10,16,Non-Travel,No,4,23,4,4,4,1,4,3,3,2,No,Y,80
33,43,Male,Married,4,Marketing,Finance,Finance Manager,1,14,1,1,4,4377.6,27.36,218.88,8,25,Travel_Frequently,Yes,8,28,3,1,2,3,4,4,3,1,No,Y,80
34,40,Male,Married,4,Life Sciences,Sales,Sales Manager,5,25,3,2,4,33072,206.7,1653.6,5,18,Travel_Frequently,Yes,3,28,3,1,2,4,3,3,3,3,No,Y,80
35,51,Male,Divorced,2,Technical Degree,Research & Development,R&D Manager,5,23,2,1,4,43977,274.86,2198.88,18,11,Non-Travel,No,0,32,5,3,4,2,4,4,3,3,No,Y,80
36,34,Female,Divorced,2,Human Resources,Finance,Financial Analyst,4,1,1,1,1,19980,124.88,999.04,25,5,Travel_Frequently,Yes,2,11,6,1,4,1,4,1,3,3,No,Y,80
37,26,Male,Married,3,Marketing,IT,IT Manager,4,20,1,1,8,19742.4,123.39,987.12,15,21,Non-Travel,No,8,21,4,1,2,3,2,1,3,0,No,Y,80
38,50,Male,Single,3,Life Sciences,Sales,Sales Representative,1,9,5,5,6,2631,16.44,131.52,12,17,Travel_Frequently,Yes,2,14,0,4,2,4,2,2,3,2,No,Y,80
39,51,Male,Married,5,Medical,Sales,Sales Representative,3,18,4,4,4,17071.2,106.7,853.6,14,7,Travel_Frequently,No,1,25,3,3,3,3,1,4,3,0,No,Y,80
40,40,Female,Single,5,Marketing,Research & Development,R&D Manager,2,19,4,2,1,14736,92.1,736.8,25,2,Travel_Frequently,No,0,30,5,2,1,3,3,4,3,1,No,Y,80
41,55,Female,Divorced,3,Medical,Human Resources,HR Manager,3,23,5,1,7,5819.4,36.37,290.96,9,25,Travel_Rarely,No,8,34,0,4,1,3,1,4,3,2,No,Y,80
42,28,Female,Divorced,2,Technical Degree,Sales,Sales Manager,5,10,9,3,1,37230,232.69,1861.52,19,30,Non-Travel,No,6,13,1,1,1,3,4,1,3,1,No,Y,80
43,64,Female,Divorced,5,Technical Degree,IT,IT Manager,2,28,6,1,7,14503.2,90.65,725.2,18,9,Travel_Rarely,No,3,42,3,2,3,1,3,3,3,2,No,Y,80
44,51,Male,Single,2,Other,IT,Systems Administrator,1,25,5,3,2,8935.8,55.85,446.8,23,7,Travel_Rarely,Yes,9,31,6,2,3,2,1,3,4,1,No,Y,80
45,33,Female,Single,1,Medical,Sales,Sales Representative,2,18,5,0,2,7616.4,47.6,380.8,6,5,Non-Travel,No,8,21,5,1,4,4,3,1,3,1,No,Y,80
46,64,Male,Divorced,3,Technical Degree,Sales,Sales Executive,4,27,6,6,1,24076.8,150.48,1203.84,19,3,Travel_Rarely,No,9,31,0,2,3,3,4,3,3,3,Yes,Y,80
47,63,Male,Divorced,5,Other,Research & Development,Lab Technician,4,28,3,3,5,22632,141.45,1131.6,17,14,Non-Travel,Yes,5,41,2,3,3,2,4,1,3,0,Yes,Y,80
48,45,Male,Single,5,Life Sciences,IT,IT Manager,5,10,10,1,6,23379,146.12,1168.96,18,28,Non-Travel,Yes,4,19,2,1,2,2,4,2,4,2,No,Y,80
49,29,Female,Married,5,Medical,Finance,Finance Manager,5,19,10,0,4,7422,46.39,371.12,10,9,Non-Travel,No,5,30,0,2,2,4,1,2,3,0,Yes,Y,80
50,46,Male,Married,4,Marketing,Research & Development,Lab Technician,3,23,5,1,0,8188.2,51.18,409.44,10,25,Non-Travel,Yes,1,31,3,4,4,4,4,3,3,0,No,Y,80
51,40,Male,Divorced,5,Technical Degree,IT,IT Manager,3,1,1,1,0,3825,23.91,191.28,11,10,Travel_Rarely,Yes,4,10,2,1,1,4,4,2,3,1,No,Y,80
52,26,Female,Married,1,Technical Degree,Sales,Sales Representative,1,27,5,5,6,8174.4,51.09,408.72,25,14,Travel_Frequently,Yes,6,27,2,2,4,3,1,4,4,1,No,Y,80
53,55,Female,Single,4,Marketing,Human Resources,HR Associate,3,24,2,1,8,22273.2,139.21,1113.68,8,17,Non-Travel,Yes,5,35,5,2,2,1,2,3,3,1,No,Y,80
54,33,Male,Divorced,4,Technical Degree,IT,IT Manager,4,21,9,5,5,10735.2,67.09,536.72,19,3,Travel_Frequently,No,4,29,4,1,3,1,3,4,3,0,No,Y,80
55,26,Female,Divorced,1,Human Resources,IT,IT Manager,4,14,9,0,7,27278.4,170.49,1363.92,25,7,Travel_Frequently,No,8,18,0,4,1,3,1,2,3,3,No,Y,80
56,45,Male,Married,3,Technical Degree,Finance,Accountant,5,1,1,1,1,22203,138.77,1110.16,8,18,Non-Travel,No,4,9,5,2,3,1,2,3,3,3,No,Y,80
57,41,Male,Divorced,4,Other,Human Resources,HR Associate,5,2,2,2,2,23784,148.65,1189.2,5,12,Travel_Frequently,Yes,3,12,6,4,2,2,2,2,3,0,No,Y,80
58,64,Male,Married,5,Medical,IT,Software Engineer,2,5,2,2,5,3258,20.36,162.88,18,12,Non-Travel,Yes,7,14,6,4,2,2,3,4,4,1,No,Y,80
59,51,Female,Married,4,Human Resources,IT,Software Engineer,2,26,3,2,4,3424.8,21.41,171.28,25,16,Travel_Frequently,Yes,8,29,2,1,2,3,4,2,4,0,No,Y,80
60,50,Male,Married,1,Technical Degree,Sales,Sales Representative,5,11,3,3,1,24426,152.66,1221.28,12,1,Travel_Frequently,Yes,5,15,1,1,3,4,2,4,3,0,No,Y,80
61,38,Male,Single,2,Human Resources,IT,IT Manager,4,3,3,3,3,9590.4,59.94,479.52,6,8,Travel_Frequently,No,1,6,6,4,1,2,2,3,3,2,No,Y,80
62,33,Female,Divorced,1,Human Resources,Human Resources,HR Associate,5,17,8,0,6,29106,181.91,1455.28,6,21,Travel_Frequently,No,4,17,2,1,3,2,1,3,3,2,No,Y,80
63,65,Male,Married,4,Other,Research & Development,Research Scientist,1,22,7,0,4,3181.2,19.88,159.04,6,26,Travel_Rarely,Yes,5,31,4,4,4,3,1,2,3,0,No,Y,80
64,39,Female,Single,3,Technical Degree,Finance,Finance Manager,4,28,6,5,2,24309.6,151.94,1215.52,20,12,Non-Travel,No,1,41,0,4,2,3,3,1,3,2,No,Y,80
65,32,Female,Divorced,4,Marketing,Finance,Financial Analyst,3,19,6,4,0,5812.2,36.33,290.64,25,13,Travel_Frequently,Yes,0,23,6,4,1,2,1,2,3,2,Yes,Y,80
66,60,Male,Single,4,Marketing,Human Resources,HR Manager,1,18,2,2,6,4290,26.81,214.48,25,9,Travel_Rarely,Yes,0,23,3,4,1,3,3,4,3,2,No,Y,80
67,34,Female,Single,2,Life Sciences,Finance,Financial Analyst,4,2,2,2,2,32700,204.38,1635.04,7,18,Non-Travel,No,4,7,5,2,3,2,1,2,3,1,No,Y,80
68,45,Male,Divorced,5,Marketing,Finance,Finance Manager,2,19,1,1,4,10227.6,63.92,511.36,20,17,Travel_Frequently,No,9,21,1,3,1,4,4,3,3,1,No,Y,80
69,49,Male,Divorced,1,Life Sciences,IT,Systems Administrator,3,5,2,2,3,13804.2,86.28,690.24,21,29,Travel_Frequently,Yes,4,11,5,3,2,3,1,2,3,1,Yes,Y,80
70,58,Female,Single,1,Life Sciences,Sales,Sales Manager,5,8,8,3,6,36381,227.38,1819.04,25,1,Travel_Frequently,No,4,23,1,4,3,4,1,1,3,3,No,Y,80
71,43,Male,Divorced,2,Marketing,Human Resources,Recruiter,3,12,2,2,8,20163.6,126.02,1008.16,8,11,Travel_Rarely,No,1,20,3,2,2,1,1,3,4,3,No,Y,80
72,42,Male,Divorced,3,Medical,Research & Development,Lab Technician,5,14,7,4,7,7137,44.61,356.88,7,13,Non-Travel,No,3,20,4,3,1,1,3,4,3,3,No,Y,80
73,28,Male,Married,2,Marketing,Human Resources,HR Manager,3,1,1,0,1,9340.2,58.38,467.04,16,18,Travel_Frequently,Yes,6,15,6,3,1,2,1,4,3,2,No,Y,80
74,31,Female,Single,5,Human Resources,Finance,Finance Manager,1,1,0,0,1,5856.6,36.6,292.8,21,15,Travel_Rarely,Yes,5,11,1,4,3,3,4,3,3,0,No,Y,80
75,48,Male,Divorced,3,Other,Sales,Sales Manager,4,8,8,3,0,27744,173.4,1387.2,20,6,Non-Travel,No,2,15,0,1,2,1,4,3,3,3,No,Y,80
76,54,Female,Divorced,4,Other,Sales,Sales Manager,2,16,3,3,7,12730.8,79.57,636.56,17,11,Travel_Rarely,No,8,26,4,3,3,4,2,2,3,2,No,Y,80
77,40,Female,Divorced,2,Other,Finance,Accountant,4,11,8,4,4,9590.4,59.94,479.52,23,22,Non-Travel,No,6,22,6,2,3,1,3,1,3,3,No,Y,80
78,35,Female,Single,5,Marketing,IT,IT Manager,3,4,1,1,3,5095.8,31.85,254.8,21,8,Non-Travel,Yes,0,7,3,3,4,1,2,1,4,1,No,Y,80
79,52,Female,Divorced,2,Marketing,Human Resources,HR Manager,1,29,1,1,8,8461.2,52.88,423.04,6,30,Travel_Rarely,No,2,30,6,4,4,2,3,1,3,0,No,Y,80
80,40,Female,Married,5,Human Resources,Finance,Financial Analyst,5,14,4,3,1,22251,139.07,1112.56,10,24,Travel_Frequently,No,2,14,5,3,3,2,2,4,4,2,No,Y,80
81,33,Male,Single,4,Marketing,Research & Development,Research Scientist,3,12,3,3,4,13320,83.25,666,14,19,Non-Travel,Yes,4,23,5,2,1,1,4,3,3,2,No,Y,80
82,45,Female,Divorced,2,Medical,Research & Development,Lab Technician,2,14,9,5,6,16200,101.25,810,22,30,Travel_Frequently,Yes,3,16,4,4,3,1,1,1,4,1,No,Y,80
83,32,Male,Married,5,Technical Degree,Sales,Sales Manager,2,22,9,7,1,12433.2,77.71,621.68,19,26,Travel_Rarely,No,2,35,3,1,4,3,1,4,3,0,No,Y,80
84,24,Male,Married,3,Other,Sales,Sales Manager,1,29,1,1,0,4021.8,25.14,201.12,18,6,Travel_Rarely,No,5,41,3,4,4,1,2,3,3,3,No,Y,80
85,22,Male,Single,3,Technical Degree,IT,Software Engineer,5,12,3,3,7,23013,143.83,1150.64,9,9,Travel_Rarely,Yes,0,25,4,1,2,2,1,1,3,3,No,Y,80
86,37,Male,Divorced,1,Technical Degree,Finance,Financial Analyst,5,6,0,0,6,20217,126.36,1010.88,12,27,Non-Travel,No,9,16,1,3,2,2,4,3,3,1,No,Y,80
87,57,Female,Married,1,Marketing,Finance,Finance Manager,3,22,6,6,2,12443.4,77.77,622.16,17,6,Non-Travel,No,3,29,2,2,4,1,4,4,3,1,No,Y,80
88,35,Female,Married,1,Technical Degree,Human Resources,HR Associate,5,23,3,0,4,24537,153.36,1226.88,24,20,Travel_Rarely,Yes,3,29,3,2,3,3,1,2,4,0,No,Y,80
89,37,Female,Divorced,5,Other,Research & Development,Lab Technician,2,17,5,4,6,11566.8,72.29,578.32,22,21,Travel_Frequently,No,4,28,4,4,4,1,4,3,4,2,No,Y,80
90,58,Male,Single,2,Life Sciences,Human Resources,Recruiter,5,18,6,4,2,15642,97.76,782.08,15,8,Travel_Frequently,Yes,7,28,2,4,4,4,2,3,3,3,No,Y,80
91,55,Male,Single,1,Other,Sales,Sales Executive,4,4,4,3,1,32606.4,203.79,1630.32,9,1,Travel_Rarely,No,5,5,4,4,4,1,1,4,3,2,No,Y,80
92,23,Female,Divorced,4,Medical,Sales,Sales Executive,5,4,3,3,4,18405,115.03,920.24,16,9,Travel_Frequently,Yes,5,16,3,2,2,3,1,1,3,3,No,Y,80
93,25,Female,Divorced,1,Other,Research & Development,Research Scientist,4,27,6,5,1,25567.2,159.8,1278.4,6,8,Travel_Rarely,No,4,28,0,3,1,2,3,1,4,1,No,Y,80
94,26,Female,Married,2,Human Resources,Research & Development,R&D Manager,4,21,8,5,6,34509.6,215.69,1725.52,9,26,Non-Travel,Yes,8,32,0,1,4,2,1,3,3,3,No,Y,80
95,23,Female,Divorced,3,Technical Degree,Finance,Financial Analyst,3,17,6,6,2,23644.8,147.78,1182.24,23,22,Travel_Frequently,Yes,9,26,6,2,1,1,3,2,3,1,No,Y,80
96,45,Female,Single,1,Life Sciences,Human Resources,HR Manager,3,24,4,1,2,6174,38.59,308.72,10,14,Travel_Frequently,No,1,24,0,3,1,3,4,1,3,3,No,Y,80
97,58,Male,Divorced,2,Other,Finance,Financial Analyst,2,8,4,4,7,5268,32.92,263.36,7,6,Travel_Frequently,No,6,17,3,1,3,3,2,4,3,1,No,Y,80
98,41,Male,Single,4,Marketing,IT,Software Engineer,3,14,5,5,2,12459.6,77.87,622.96,15,20,Non-Travel,Yes,7,24,1,4,3,3,4,2,3,2,No,Y,80
99,45,Female,Single,5,Medical,IT,IT Manager,2,21,8,0,7,16326,102.04,816.32,11,15,Travel_Frequently,Yes,6,36,1,3,2,3,2,4,3,0,No,Y,80
100,59,Female,Married,5,Human Resources,Finance,Finance Manager,1,25,5,1,1,8758.8,54.74,437.92,12,22,Non-Travel,No,2,26,4,4,3,4,1,1,3,1,No,Y,80
101,50,Male,Married,4,Technical Degree,IT,IT Manager,5,4,4,0,4,11136,69.6,556.8,14,14,Travel_Rarely,Yes,2,15,2,3,4,2,4,3,3,3,No,Y,80
102,42,Female,Single,3,Life Sciences,Sales,Sales Executive,3,20,1,1,3,18817.2,117.61,940.88,10,18,Travel_Rarely,No,8,33,3,2,4,2,2,4,3,1,No,Y,80
103,46,Female,Single,2,Medical,Human Resources,Recruiter,1,18,1,1,5,4404,27.52,220.16,11,15,Travel_Rarely,No,7,28,4,4,4,1,3,3,4,1,No,Y,80
104,61,Female,Divorced,1,Other,Research & Development,Lab Technician,1,7,4,1,2,4869.6,30.44,243.52,9,17,Travel_Frequently,No,9,11,4,4,4,2,4,2,3,3,No,Y,80
105,42,Male,Married,5,Life Sciences,Human Resources,HR Associate,4,4,3,3,4,24674.4,154.22,1233.76,25,16,Travel_Frequently,No,6,18,3,2,1,1,2,3,3,1,No,Y,80
106,51,Male,Divorced,4,Human Resources,IT,Systems Administrator,5,3,3,3,3,43197,269.98,2159.84,6,25,Non-Travel,No,8,9,3,1,2,3,1,4,3,0,No,Y,80
107,37,Male,Single,5,Other,Human Resources,Recruiter,5,20,6,2,2,44574,278.59,2228.72,11,27,Travel_Rarely,Yes,9,31,4,3,2,3,3,3,3,0,Yes,Y,80
108,25,Female,Married,2,Other,Research & Development,Research Scientist,2,22,5,3,6,12022.8,75.14,601.12,9,19,Non-Travel,No,6,34,3,1,1,4,3,3,3,3,No,Y,80
109,27,Male,Divorced,4,Other,Human Resources,HR Associate,5,12,3,3,3,30315,189.47,1515.76,13,11,Travel_Frequently,No,8,16,4,4,3,1,1,1,3,3,Yes,Y,80
110,50,Male,Married,1,Technical Degree,Research & Development,R&D Manager,2,28,10,4,2,7786.8,48.67,389.36,7,21,Travel_Frequently,No,1,39,5,2,1,4,3,2,3,0,No,Y,80
111,35,Male,Married,1,Medical,IT,Systems Administrator,5,21,7,0,0,40188,251.18,2009.44,15,27,Travel_Rarely,No,2,36,0,2,4,1,1,1,3,2,No,Y,80
112,63,Male,Divorced,2,Life Sciences,IT,IT Manager,1,19,10,2,7,4651.8,29.07,232.56,11,21,Non-Travel,Yes,6,33,6,2,1,1,2,1,3,3,No,Y,80
113,42,Female,Single,2,Marketing,Sales,Sales Executive,5,19,9,4,0,38361,239.76,1918.08,14,7,Non-Travel,Yes,6,28,5,1,2,4,4,1,3,0,No,Y,80
114,45,Male,Married,2,Technical Degree,IT,Software Engineer,3,17,10,2,7,26317.8,164.49,1315.92,7,1,Non-Travel,Yes,0,25,1,1,1,4,3,4,3,3,Yes,Y,80
115,39,Male,Single,3,Life Sciences,IT,Systems Administrator,2,17,5,5,1,8497.2,53.11,424.88,18,24,Travel_Rarely,Yes,3,19,3,1,4,1,3,2,3,1,No,Y,80
116,53,Male,Married,5,Human Resources,Human Resources,HR Associate,3,4,4,1,0,13478.4,84.24,673.92,18,9,Non-Travel,Yes,4,6,3,4,3,1,4,2,3,2,No,Y,80
117,36,Male,Divorced,5,Life Sciences,Sales,Sales Executive,2,1,1,1,1,5349.6,33.44,267.52,10,30,Travel_Rarely,No,3,11,1,4,3,3,1,3,3,0,No,Y,80
118,47,Male,Single,4,Marketing,Human Resources,HR Manager,1,17,7,0,5,3172.2,19.83,158.64,14,19,Travel_Frequently,Yes,7,28,4,4,2,2,2,1,4,0,No,Y,80
119,62,Female,Divorced,1,Marketing,Sales,Sales Manager,4,27,4,1,3,25632,160.2,1281.6,12,14,Travel_Frequently,Yes,2,35,0,1,2,4,3,4,4,0,No,Y,80
120,62,Male,Married,1,Human Resources,IT,Systems Administrator,4,21,2,2,4,15062.4,94.14,753.12,15,30,Travel_Frequently,No,5,35,2,2,1,2,2,1,3,1,No,Y,80
121,48,Female,Single,5,Marketing,Research & Development,Lab Technician,3,14,4,1,1,8247.6,51.55,412.4,14,27,Non-Travel,Yes,3,24,1,1,2,3,4,1,3,2,No,Y,80
122,23,Male,Married,4,Human Resources,IT,Systems Administrator,1,14,1,1,1,1317,8.23,65.84,6,27,Travel_Rarely,Yes,3,26,2,1,3,1,1,1,3,3,No,Y,80
123,43,Male,Single,1,Technical Degree,Sales,Sales Executive,5,13,6,6,0,24810,155.06,1240.48,18,6,Travel_Frequently,Yes,2,21,2,4,2,1,2,3,3,3,Yes,Y,80
124,46,Female,Single,4,Medical,IT,Systems Administrator,5,25,0,0,5,29577,184.86,1478.88,22,26,Travel_Frequently,No,9,35,3,3,2,1,3,2,3,2,No,Y,80
125,55,Female,Married,5,Medical,Research & Development,Research Scientist,2,21,3,3,8,17955.6,112.22,897.76,6,25,Travel_Rarely,No,5,26,1,2,3,3,1,3,4,1,No,Y,80
126,53,Male,Divorced,3,Medical,Finance,Financial Analyst,1,1,1,1,0,6375,39.84,318.72,20,1,Travel_Frequently,Yes,2,11,5,2,3,1,1,2,3,1,No,Y,80
127,26,Female,Married,4,Human Resources,Sales,Sales Representative,3,10,2,2,6,26951.4,168.45,1347.6,25,16,Non-Travel,No,2,21,1,2,4,3,3,2,3,0,No,Y,80
128,58,Female,Single,2,Human Resources,Human Resources,Recruiter,2,20,9,1,7,5164.8,32.28,258.24,15,24,Travel_Rarely,Yes,5,30,1,1,3,4,1,3,3,0,No,Y,80
129,22,Male,Single,4,Technical Degree,Finance,Financial Analyst,4,15,6,5,8,19557.6,122.23,977.84,8,27,Travel_Frequently,Yes,2,29,0,1,3,1,3,3,4,0,No,Y,80
130,32,Female,Divorced,1,Human Resources,Sales,Sales Representative,5,19,7,0,6,38127,238.29,1906.32,10,20,Travel_Frequently,Yes,0,22,2,2,2,4,3,3,3,0,Yes,Y,80
131,31,Female,Single,3,Life Sciences,Finance,Financial Analyst,3,26,10,7,3,6460.2,40.38,323.04,5,7,Travel_Rarely,No,1,41,6,1,3,4,4,4,4,2,Yes,Y,80
132,33,Female,Married,4,Marketing,Research & Development,Lab Technician,1,8,7,7,4,3423.6,21.4,171.2,13,19,Travel_Rarely,Yes,1,10,5,3,4,2,1,4,4,3,No,Y,80
133,58,Female,Single,4,Marketing,Sales,Sales Representative,1,16,9,2,1,8643,54.02,432.16,19,6,Travel_Rarely,Yes,3,20,0,4,1,4,2,2,4,2,No,Y,80
134,27,Male,Married,5,Technical Degree,IT,Software Engineer,3,16,7,0,8,26652.6,166.58,1332.64,18,4,Travel_Frequently,Yes,2,19,0,1,3,3,4,3,3,3,No,Y,80
135,24,Female,Single,3,Technical Degree,Research & Development,R&D Manager,5,21,6,0,6,22293,139.33,1114.64,12,2,Non-Travel,No,4,32,0,3,3,3,3,4,4,0,No,Y,80
136,30,Male,Married,4,Marketing,Human Resources,Recruiter,4,19,10,1,3,22168.8,138.56,1108.48,11,30,Travel_Frequently,No,8,30,6,1,2,1,3,4,3,0,No,Y,80
137,25,Male,Single,1,Technical Degree,Sales,Sales Representative,2,8,5,5,8,10203.6,63.77,510.16,25,30,Travel_Rarely,Yes,3,19,3,4,2,4,3,3,3,2,No,Y,80
138,40,Male,Single,4,Life Sciences,Research & Development,R&D Manager,2,27,3,3,3,7689.6,48.06,384.48,25,14,Non-Travel,Yes,0,42,1,2,1,2,3,3,3,2,No,Y,80
139,44,Female,Married,3,Medical,Finance,Accountant,5,26,9,6,1,6360,39.75,318,21,22,Travel_Frequently,No,4,29,3,1,3,3,3,3,3,2,No,Y,80
140,25,Male,Divorced,4,Other,Human Resources,Recruiter,2,23,0,0,4,7500,46.88,375.04,18,13,Travel_Frequently,Yes,9,29,2,2,4,3,3,2,4,1,No,Y,80
141,30,Female,Divorced,3,Other,IT,Systems Administrator,3,20,1,1,5,10186.2,63.66,509.28,14,14,Travel_Frequently,No,4,29,3,1,4,1,1,4,4,0,No,Y,80
142,55,Female,Married,4,Life Sciences,Research & Development,Research Scientist,2,10,6,6,2,8619.6,53.87,430.96,10,25,Travel_Rarely,No,5,15,2,1,1,4,3,2,3,1,No,Y,80
